O*NET-SOC Code,Title,dv_rating_alpha,dv_rating_beta,dv_rating_gamma,human_rating_alpha,human_rating_beta,human_rating_gamma,Job Zone,Active_Learning_Importance,Active_Learning_Level,Critical_Thinking_Importance,Critical_Thinking_Level,Learning_Strategies_Importance,Learning_Strategies_Level,Monitoring_Importance,Monitoring_Level,Active_Listening_Importance,Active_Listening_Level,Mathematics_Importance,Mathematics_Level,Programming_Importance,Programming_Level,Reading_Comprehension_Importance,Reading_Comprehension_Level,Science_Importance,Science_Level,Speaking_Importance,Speaking_Level,Writing_Importance,Writing_Level,degree_of_automation_context,importance_of_being_exact_or_accurate_context,importance_of_repeating_same_tasks_context,structured_versus_unstructured_work_context
11-1011.00,Chief Executives,0.1,0.46,0.8200000000000001,0.18,0.35,0.52,5,75,68,85,68,53,55,78,79,78,70,56,52.0,16,9.0,78,68,22,16.0,85,70,75,63,0.42,0.79,0.56,1.0
11-1011.03,Chief Sustainability Officers,0.1666666666666666,0.5555555555555556,0.9444444444444444,0.0555555555555555,0.3888888888888888,0.7222222222222222,5,69,55,78,59,60,54,69,57,75,57,47,45.0,22,16.0,75,61,28,27.0,75,59,78,61,0.14,0.63,0.2,0.86
11-1021.00,General and Operations Managers,0.0,0.4807692307692308,0.9615384615384616,0.1153846153846153,0.3846153846153846,0.6538461538461539,4,63,52,72,57,50,46,75,57,75,57,35,36.0,13,9.0,72,57,22,16.0,75,57,56,55,0.32,0.75,0.65,0.95
11-2011.00,Advertising and Promotions Managers,0.0,0.4767441860465116,0.9534883720930232,0.2558139534883721,0.5465116279069767,0.8372093023255813,4,56,59,75,59,50,46,56,61,78,59,50,46.0,19,11.0,69,57,16,9.0,75,59,69,55,0.25,0.83,0.43,0.81
11-2021.00,Marketing Managers,0.0625,0.5,0.9375,0.21875,0.578125,0.9375,4,72,59,72,61,53,50,69,61,72,59,44,45.0,22,18.0,72,61,19,21.0,72,59,56,55,0.28,0.7,0.45,0.91
11-2022.00,Sales Managers,0.0,0.45,0.9,0.1,0.4833333333333333,0.8666666666666667,4,69,55,72,57,56,54,69,68,75,57,50,46.0,16,13.0,72,57,16,9.0,75,59,66,57,0.32,0.68,0.4,0.77
11-3012.00,Administrative Services Managers,0.0869565217391304,0.3913043478260869,0.6956521739130435,0.2608695652173913,0.5,0.7391304347826086,3,53,48,69,55,50,46,60,52,75,57,31,30.0,10,9.0,75,57,0,0.0,72,55,69,54,0.29,0.79,0.59,0.76
11-3021.00,Computer and Information Systems Managers,0.1212121212121212,0.5303030303030303,0.9393939393939394,0.303030303030303,0.5606060606060607,0.8181818181818182,4,60,55,78,57,56,50,72,63,75,57,53,45.0,44,37.0,75,57,19,20.0,72,55,69,57,0.39,0.76,0.72,0.94
11-3031.00,Financial Managers,0.0,0.4814814814814814,0.9629629629629628,0.037037037037037,0.4259259259259259,0.8148148148148148,4,69,57,75,57,63,57,75,64,75,57,56,48.0,10,5.0,75,57,10,5.0,75,57,72,57,0.39,0.92,0.68,0.8
11-3031.01,Treasurers and Controllers,0.0,0.4736842105263157,0.9473684210526316,0.1578947368421052,0.4078947368421052,0.6578947368421052,4,66,61,78,68,50,48,72,64,72,61,69,61.0,16,14.0,78,61,6,0.0,75,61,66,59,0.4,0.91,0.67,0.84
11-3031.03,Investment Fund Managers,0.0,0.5,1.0,0.1714285714285714,0.5285714285714286,0.8857142857142857,5,69,55,75,57,47,45,63,57,75,59,60,52.0,19,,75,61,0,0.0,72,59,66,55,0.37,0.81,0.42,0.88
11-3051.00,Industrial Production Managers,0.0606060606060606,0.4848484848484848,0.9090909090909092,0.1515151515151515,0.3484848484848485,0.5454545454545454,4,66,57,75,57,69,57,75,70,72,57,60,54.0,16,11.0,72,57,16,16.0,75,57,60,57,0.26,0.87,0.54,0.89
11-3051.01,Quality Control Systems Managers,0.0754716981132075,0.5094339622641509,0.9433962264150944,0.1886792452830188,0.4716981132075472,0.7547169811320754,4,63,57,69,59,60,50,72,59,72,59,53,48.0,25,21.0,78,57,35,,69,54,69,54,0.31,0.93,0.73,0.82
11-3051.02,Geothermal Production Managers,0.2,0.4833333333333333,0.7666666666666666,0.1333333333333333,0.3833333333333333,0.6333333333333333,3,63,46,75,55,56,48,72,63,66,52,56,54.0,22,18.0,72,61,35,,72,57,66,54,0.37,0.82,0.63,0.94
11-3051.03,Biofuels Production Managers,0.0,0.2857142857142857,0.5714285714285714,0.0714285714285714,0.1785714285714285,0.2857142857142857,4,56,52,72,55,60,50,69,55,69,55,50,46.0,28,23.0,72,57,50,50.0,66,57,63,50,0.6,0.82,0.63,0.78
11-3051.04,Biomass Power Plant Managers,0.03125,0.328125,0.625,0.125,0.28125,0.4375,4,53,48,75,57,50,45,72,66,72,55,50,46.0,16,13.0,72,61,38,36.0,75,57,53,54,0.42,0.83,0.73,0.85
11-3051.06,Hydroelectric Production Managers,0.0571428571428571,0.3428571428571428,0.6285714285714286,0.1142857142857142,0.3142857142857143,0.5142857142857142,3,66,52,69,57,66,54,72,54,78,57,56,50.0,28,20.0,72,59,56,46.0,78,59,63,55,0.38,0.77,0.65,0.87
11-3061.00,Purchasing Managers,0.2285714285714285,0.5857142857142857,0.9428571428571428,0.1142857142857142,0.4714285714285714,0.8285714285714285,4,60,55,72,57,53,52,63,55,72,57,50,48.0,22,16.0,69,54,6,0.0,72,55,69,57,0.51,0.82,0.63,0.72
11-3071.00,"Transportation, Storage, and Distribution Managers",0.0357142857142857,0.4821428571428571,0.9285714285714284,0.1785714285714285,0.4732142857142857,0.7678571428571428,4,57,52,73,58,52,48,72,59,71,57,52,45.0,12,8.0,72,57,11,0.0,73,57,66,52,0.38,0.77,0.56,0.75
11-3071.04,Supply Chain Managers,0.0,0.4909090909090909,0.9818181818181818,0.1454545454545454,0.4727272727272727,0.7999999999999999,4,69,54,72,57,50,46,75,59,75,57,50,43.0,16,13.0,75,57,3,0.0,75,57,72,57,0.38,0.75,0.43,0.8
11-3111.00,Compensation and Benefits Managers,0.131578947368421,0.513157894736842,0.894736842105263,0.1842105263157894,0.4605263157894737,0.7368421052631579,4,69,54,72,57,50,43,63,48,75,59,47,41.0,13,9.0,75,57,3,0.0,75,57,69,57,0.45,0.86,0.42,0.87
11-3121.00,Human Resources Managers,0.04,0.48,0.92,0.14,0.45,0.76,4,69,57,69,59,56,54,66,59,78,57,41,43.0,19,20.0,75,59,16,14.0,78,57,72,57,0.27,0.76,0.51,0.93
11-3131.00,Training and Development Managers,0.0909090909090909,0.5,0.9090909090909092,0.0454545454545454,0.4772727272727273,0.9090909090909092,4,72,61,72,57,85,75,72,61,75,57,50,43.0,19,11.0,75,57,22,13.0,75,68,72,57,0.27,0.65,0.42,0.83
11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",0.0408163265306122,0.3673469387755101,0.6938775510204082,0.1020408163265306,0.2448979591836734,0.3877551020408163,4,57,49,72,55,51,45,70,53,65,52,43,40.0,16,10.0,62,54,47,41.0,72,54,54,51,0.34,0.62,0.52,0.88
11-9021.00,Construction Managers,0.0444444444444444,0.4444444444444445,0.8444444444444444,0.2,0.4,0.6,4,66,55,69,59,50,45,72,61,72,59,56,52.0,13,7.0,69,59,22,25.0,72,59,56,55,0.25,0.71,0.49,0.81
11-9031.00,"Education and Childcare Administrators, Preschool and Daycare",0.0625,0.46875,0.875,0.28125,0.515625,0.75,4,63,55,75,57,66,55,75,59,75,57,47,41.0,13,9.0,75,59,13,11.0,75,57,69,57,0.28,0.76,0.67,0.86
11-9032.00,"Education Administrators, Kindergarten through Secondary",0.0181818181818181,0.4181818181818181,0.8181818181818181,0.2727272727272727,0.4545454545454545,0.6363636363636364,5,72,59,81,63,81,66,75,68,85,64,53,46.0,19,11.0,81,66,19,20.0,85,63,78,63,0.24,0.79,0.5,0.85
11-9033.00,"Education Administrators, Postsecondary",0.024390243902439,0.4390243902439024,0.8536585365853658,0.3414634146341463,0.475609756097561,0.6097560975609756,5,72,57,78,61,69,57,75,61,75,61,47,45.0,10,7.0,78,66,13,7.0,75,61,75,61,0.22,0.78,0.34,0.92
11-9041.00,Architectural and Engineering Managers,0.0,0.4714285714285714,0.9428571428571428,0.1142857142857142,0.3857142857142857,0.6571428571428571,5,72,55,72,61,56,45,69,57,75,57,72,61.0,22,16.0,78,63,41,39.0,75,57,75,59,0.26,0.75,0.62,0.88
11-9041.01,Biofuels/Biodiesel Technology and Product Development Managers,0.1034482758620689,0.4137931034482758,0.7241379310344828,0.0,0.2758620689655172,0.5517241379310345,4,56,54,66,59,47,46,56,55,63,52,53,45.0,25,20.0,66,61,53,,66,50,66,55,0.27,0.78,0.47,0.86
11-9051.00,Food Service Managers,0.0625,0.4166666666666666,0.7708333333333333,0.1875,0.3958333333333333,0.6041666666666666,2,60,54,66,54,50,46,69,55,69,50,47,41.0,13,9.0,66,52,16,16.0,69,52,50,45,0.36,0.82,0.74,0.79
11-9071.00,Gambling Managers,0.3235294117647059,0.5735294117647058,0.8235294117647058,0.2647058823529412,0.4852941176470588,0.7058823529411764,3,66,52,75,57,56,52,72,59,69,55,50,45.0,16,9.0,63,57,16,11.0,75,57,66,54,0.28,0.85,0.65,0.87
11-9081.00,Lodging Managers,0.0434782608695652,0.4565217391304347,0.8695652173913043,0.2608695652173913,0.3804347826086956,0.5,4,69,55,69,55,60,52,69,54,78,57,41,41.0,16,13.0,72,55,0,0.0,75,57,72,57,0.47,0.79,0.79,0.92
11-9111.00,Medical and Health Services Managers,0.0,0.4285714285714285,0.8571428571428571,0.1142857142857142,0.3714285714285714,0.6285714285714286,5,72,57,78,57,53,54,66,57,75,57,44,41.0,19,14.0,75,59,44,45.0,81,57,75,57,0.55,0.88,0.77,0.78
11-9121.00,Natural Sciences Managers,0.1333333333333333,0.5666666666666667,1.0,0.3666666666666666,0.5666666666666667,0.7666666666666666,5,63,68,75,63,63,55,75,59,75,68,53,57.0,22,23.0,75,71,78,70.0,72,61,72,71,0.13,0.86,0.49,0.85
11-9121.01,Clinical Research Coordinators,0.1525423728813559,0.5254237288135593,0.8983050847457628,0.2203389830508474,0.4661016949152542,0.711864406779661,4,60,57,69,57,53,48,66,54,75,57,47,43.0,16,13.0,75,61,50,43.0,72,57,75,57,0.23,0.89,0.78,0.75
11-9121.02,Water Resource Specialists,0.048780487804878,0.5,0.951219512195122,0.1463414634146341,0.4268292682926829,0.7073170731707318,4,56,54,75,57,53,46,56,54,75,57,56,54.0,22,21.0,75,59,50,46.0,75,57,75,57,0.26,0.74,0.28,0.79
11-9131.00,Postmasters and Mail Superintendents,0.1428571428571428,0.5238095238095237,0.9047619047619048,0.238095238095238,0.4523809523809523,0.6666666666666666,2,56,45,69,55,60,46,69,52,75,48,44,36.0,19,13.0,75,55,13,7.0,75,57,56,54,0.41,0.79,0.68,0.72
11-9141.00,"Property, Real Estate, and Community Association Managers",0.0,0.4431818181818182,0.8863636363636364,0.2045454545454545,0.4318181818181818,0.6590909090909091,4,50,45,63,55,44,45,53,45,69,57,50,43.0,13,7.0,72,57,10,7.0,75,57,66,57,0.3,0.73,0.48,0.81
11-9151.00,Social and Community Service Managers,0.0714285714285714,0.3928571428571428,0.7142857142857142,0.25,0.4464285714285714,0.6428571428571428,4,72,55,72,59,66,54,72,57,72,61,41,45.0,19,13.0,69,59,31,29.0,69,59,69,57,0.31,0.8,0.61,0.84
11-9161.00,Emergency Management Directors,0.0,0.4222222222222222,0.8444444444444444,0.4,0.6,0.8,4,69,63,75,63,66,55,75,63,75,57,50,45.0,16,9.0,75,61,28,23.0,78,61,75,61,0.31,0.69,0.44,0.8
11-9171.00,Funeral Home Managers,0.1428571428571428,0.4285714285714285,0.7142857142857142,0.2857142857142857,0.5357142857142857,0.7857142857142857,3,44,43,53,52,47,43,66,52,69,52,35,37.0,13,11.0,66,54,6,0.0,69,55,60,52,0.14,0.78,0.5,0.88
